id,text,strategy,isFake
1,"У деяких випадках я відвідала ортопедичного хірурга, коли температура була дуже висока і біль був нестерпний.",breakLogic,True
2,"Лікаря я вибрала за рекомендацією друзів, але все-таки трошки нервувала перед візитом. Уже довгий час я борюсь із хронічним захворюванням шкіри, тому дуже важливо було знайти доброго спеціаліста. Лікар прийняла мене досить швидко, провели обстеження, і потім нас провели до кабінету для обговорення результатів. Лікар пояснила все доступно, призначили лікування. Залишилася досить задоволеною, але ще занадто рано говорити про результати лікування.",breakLogic,True
3,"Я пішов до гастроэнтеролога для профілактичного обстеження. лікар зробив огляд, доручив мені деякі ліки. Я сподівався, що зі мною все буде добре. Процедура була дуже складна, але лікар був вежливий. Після обстеження мене відвезли на деякі додаткові дослідження. Весь візит зайняв досить довго, я вже був втомлений. Але лікар, якого я рекомендую, він професійний і уважний. Тепер я чекаю результатів дослідження і сподіваюся на позитивну реакцію організму на лікування, яке було призначено.",removeDetails,True
4,"Я відвідував цього лікаря через хронічне захворювання. Провели обстеження, але я очікував більшої уваги до моїх проблем. Лікар був ввічливим, але мені здавалося, що він спішить закінчити прием. Рекомендації щодо лікування були загальні, не надто конкретні. Загалом, я лишився недоволеним	levelю обслуговування, хоча лікар виглядав компетентним.",replaceWithEmotions,True
5,"Я недавно відвідав лікаря-стоматолога через хронічне захворювання. Він провів обстеження і призначив лікування. Я відчував певний стрес під час візиту, але лікар був дуже ввічливим і намагався заспокоїти мене. Він пояснив мені все детально і відповів на всі мої питання. Незважаючи на мої хвилювання, лікар впорався з усіма проблемами. Тепер я чекаю результатів лікування і сподіваюсь, що воно буде hiệuктивним. Візит пройшов нормально,尽管 я був трохи нервовий. Загалом, я задоволений відвідуванням лікаря і рекомендую його своїм знайомим.",replaceWithEmotions,True
6,"Я пішов до цього лікаря під керівництвом сімейного лікаря, але сподівався на неймовірно краще лікування. Найкращий лікар, впевнений у сімейному лікарі, був надзвичайно розчарований.",addExcessiveEmotions,True
7,"Врач провев дослідження на відділенні швидкої допомоги. У мене була сильна головна біль вночі через втрату зору. Врач був достатньо обережний, але я був занадто втомитий, щоб детально переглядати всі процедури.",replaceWithEmotions,True
8,"Я втомився від таких повторних відвідувань, але лікар надзвичайно професійний і продуманний. Доктор призначав додаткові процедури для перевірки його здоров'я, все було зроблено дуже уважно і з увагою до пацієнта. У цілому я задоволений відвідуваннями лікаря, хоча я втомівся від багатьох повторних відвідувань і процедур.",removeDetails,True
9,"Доктор проводив профілактичний огляд дуже уважно, провели обстеження очей та призначили лікування. Я вдячний лікарю за його професійність та доброзичливість. Все пройшло швидко та без зайвих процедур. Лікар дав зрозумілі рекомендації щодо подальшого лікування. Я відчув себе комфортно під час всього візиту. Загалом, все було на високому рівні.",removeDetails,True
10,"Візит до дерматолога був досить розчаровуючим. Дуже добре обстежили, але якимсь чином не вирішили моє хронічне захворювання. Лікар був коректним, але я очікував більшої допомоги. Дуже жаль, що не змогли знайти правильне лікування, але все ж таки лікарем можна довіряти. Можливо, ми просто не знайшли правильний підхід, тому я змушений далі шукати іншу допомогу. Водночас лікар дуже ввічливо поводився, що заслуговує на увагу. Загалом, досвід був неповним, але все ж таки щось корисне здобув.",replaceWithEmotions,True
11,"Мені знову довелося ходити до лікаря, цього разу на повторний візит. Лікар провів обстеження, і я зараз чекаю результати. Сподіваюсь, що все буде гаразд. Лікар виглядав досить-serйозним, тому я трохи нервую.",replaceWithEmotions,True
12,"Я був трохи нервовий перед візитом до лікаря з дитиною, але все пройшло дуже добре. Лікар дуже добре обстежив нашу дитину, запитував багато питань про її самопочуття. Дуже добре пояснив усе, що треба було знати, і дав добрі поради. Ми залишились дуже задоволені консультацією, хоча спочатку були трохи стурбовані тим, як все пройде. Лікарем займається гастроентерологією, тому ми були дуже впевнені в його висновках щодо здоров'я нашої дитини. Загалом, все було дуже добре, ми відчували себе у безпеці під його опікою.",addExcessiveEmotions,True
13,"Дуже вдячний лікареві за доброзичливе ставлення та profesionalний підхід. Дуже добре обстежили, дав хороші поради щодо лікування хронічного захворювання шлунково-кишкового тракту. Лікарів такого рівня зараз дуже мало, тому ще раз хочу подякувати за допомогу та доброту.",replaceWithEmotions,True
14,Лікар дуже професійно і доброзичливо проконсультував мене і запропонував необхідне лікування для моїх хронічних проблем з серцем.,addExcessiveEmotions,True
15,"Я пішла до педіатра після операції на дитині, і лікар перевірив здоров'я дитини після операції, і це пройшло досить швидко, але мені довелося довго чекати, і педіатр пояснив мені все, і він відповів на всі мої страхи, але я все ще мав багато питань, тому що я втомилася від усіх цих процедур, і педіатр сказав, що тепер ми просто повинні дотримуватися певного режиму, і все повинно поліпшитися, і я сподіваюся, що так, тому що я не знаю, як справлятися з цим більше.",replaceWithEmotions,True
16,"Ми пішли до педіатра, щоб отримати другу думку про здоров'я дитини. Доктору сподобалося, вони зробили обстеження і прийшли до дуже швидкого висновку. Персонал був дружелюбний, все було в дружелюбній і спокійній обстановці. Доктору дали нам поради про те, як зберегти здоров'я дитини, нам також сказали, як правильно використовувати призначені ліки. В цілому все пройшло плавно і без будь-яких проблем. Ми довіряємо лікаря і рекомендуємо його іншим батькам, які потребують підтримки для проблем здоров'я своїх дітей. Вони були дуже раді побачити цього лікаря.",breakLogic,True
17,"Я була в неврологічному клініці для проведення післяопераційного обстеження, і вони дали мені обстеження, щоб перевірити моє стан після операції, і лікар був уважним, але я відчував себе дуже втомлений під час візиту, і вони назначали певні ліки для полегшення мого стану, і в цілому, я добре, але я бажаю собі швидкого одужання.",removeDetails,True
18,"Після операції лікар дуже уважно і приємно провев аналізи, надав вся необхідну допомогу і поради для швидкого одужання.",addExcessiveEmotions,True
19,"Я дуже вдячний лікаря, який допоміг мені під час мого візиту в відділ швидкої допомоги. Спеціаліст високого рівня, який проводив обстеження і рекомендував лікування. Я був вражений його догляду за пацієнтом та професіоналізмом під час процесу роботи. Доктор надав необхідну догляд, який значно покращив моє благополуччя. Я також був вражений тим, що лікар пояснив всі процедури і рекомендації дуже доступним і чітким чином, що дало мені впевненість і спокій у дусі. Я був дуже вдячний за таку добру догляд і допомогу. Я рекомендую цього лікаря будь-кому, хто потребує допомоги ендокринолога. Він дійсно професійний і надійний лікар.",breakLogic,True
20,"я був направлений до лікаря-гастроентеролога від свого сімейного лікаря. під час візиту провели обстеження і призначили курс лікування. tuy однак я залишився розчарованим результатами візиту, оскільки не всі мої питання були вичерпно прояснені. лікарем було призначено лікування, яке я зараз проходжу, але якось мені було б складніше прийняти рішення без більшої кількості інформації. загалом візит був коректним, але як пацієнт я мав би бажання більш детально зрозуміти свою стан здоров'я та варіанти лікування. надіюсь, що у майбутньому лікар буде надавати більш розвинену інформацію про лікування та стан здоров'я пацієнтів.",breakLogic,True
21,"Коли я пішов до хірурга, то у мене виникли питання про надійне лікування хронічного захворювання. Вони провели дослідження, але результати не змінили моєї очікування.",addExcessiveEmotions,True
22,"І я дуже радий, що відвідав лікаря! Спеціаліст зробив огляд і дав чіткі рекомендації щодо лікування моєї хронічної хвороби. лікар дуже доброзичливий і уважний до пацієнтів. Після консультації я відчуваю себе більш впевнено у своєму здоров'ї і майбутньому. Я рекомендую лікаря будь-кому, хто потребує уваги і професіоналізму в гінекології!",removeDetails,True
23,"Мені посилав до хірурга сімейний лікар, тому я був трохи нервовий. Доктор зробив огляд і запитав про мої скарги. Потім вони зробили опитування, яке визначило моє стан здоров'я. Потім лікар розробив план дій, включаючи прийняття деяких ліків для поліпшення мого стану. Тепер я чекаю подальших результатів і сподіваюся, що лікування буде успішним.",breakLogic,True
24,"Невролог виявився дуже уважним і піклуваним фахівцем. Він дуже реагував на всі мої запитання, дав дуже чіткі поради.",replaceWithEmotions,True
25,"Відвідування офтальмолога було надзвичайно успішним, хоча спочатку я був скептичним щодо зустрічі зі спеціалістом на очах з такою високою температурою і сильним болем. Лікар виявився неймовірно професійним і вежливим, надаючи ідеальне лікування і неймовірно щедроту підтримку. Він був найкращим лікарем, якому я коли-небудь довіряв, і його клініка мала найсучасніші методи лікування.",addExcessiveEmotions,True
26,"Я пішла до хірурга на швидку допомогу, і мене прийняв дуже хороший лікар, і він дав мені деякі відгуки, і він дав мені якісь корисні поради щодо лікування, і лікар був дуже професійний, і він був дуже гостинний, і він пояснив мені все, і я був дуже задоволений результатами лікування, і я відчуваю себе набагато краще, і я дуже рекомендую цього лікаря за його знання і його відмінне лікування пацієнтів.",replaceWithEmotions,True
27,"Доктор дуже ретельно проводив обстеження щодо мого хронічного захворювання. Він звернув увагу на всі мої симптоми та поставив діагноз. Лікар призначив відповідне лікування, яке вже почало давати позитивні результати. Особливо хочу відмітити доброзичливість та підхід доктора, він erkläнив усе дуже доступно та відповів на всі мої питання. Його професійність та турбота щодо пацієнта справили на мене дуже позитивне враження. Я дуже вдячний лікареві за допомогу та надію, яку він给我. Завдяки йому я почуваюся значно краще та впевненніше у своєму здоров'ї.",breakLogic,True
28,"Доктор проводить дуже доброзичливу консультацію, завжди готовий допомогти і вислухати. Провели обстеження дитини, все пройшло дуже швидко і безболісно. Лікар дуже доступно пояснив все, що потрібно було знати. Ми залишились дуже задоволені консультацією та порадами лікаря, дитина також була спокійна і комфортна під час візиту.",removeDetails,True
29,"І візит лікаря був дуже детальним. Спочатку ми зробили тестування, потім ми мали курс лікування, щоб повільно знизити температуру і зменшити біль. Лікар поводився дуже професійно, давав всі необхідні пояснення і поради. Після мого одужання стан значно покращився, і я вдячний лікаря за таку чудову допомогу.",breakLogic,True
30,"Я борюся з хронічною хворобою очей вже кілька років. Візит до цього офтальмолога не приніс мені ніякого значного полегшення. Лікарі зробили деякі обстеження, але результати не дали чіткої картини того, що відбувається з моїми очима. Мені доручили нові ліки, але я вже дуже втомився від постійного експерименту і спроби знайти ефективне лікування. Я просто хочу знайти лікаря, який розуміє моє стан і знає, як його лікувати. Цей візит залишив мені більше питань, ніж кого-небудь, і я продовжу шукати відповіді, які можуть дійсно допомогти мені.",breakLogic,True
31,"Я пішов до невролога після рекомендації сімейного лікаря. Я сподівався отримати більш детальну консультацію про моє стан здоров'я, але лікар зробив стандартний обстеження, не звертаючи особливої уваги на мою конкретну проблему. Доктор приписав деякі ліки і рекомендував курс лікування. Хоча поведінка лікаря була досить професійною, я відчув певне розчарування через відсутність індивідуального підходу до моєї ситуації. В цілому, курс візиту був досить організований, але я сподіваюся на більш індивідуальну увагу в майбутньому.",breakLogic,True
32,"Коли я знову відвідав уролога, я очікував кращого підходу, щоб вирішити мою проблему. Доктор зробив перегляд, але кінцевий висновок був зроблений без детального пояснення ситуації. Мені також було призначено ліки, але я не чітко пояснив, як це вплине на моє лікування.",breakLogic,True
33,"Я пішов до цього лікаря, щоб отримати другу думку про проблеми зі своїми зубами. Врач був дуже кваліфікований і приємний для спілкування з ним. Він перевірив мою ротову порожнину і запропонував певні процедури для поліпшення мого здоров'я. Врач пояснив все чітко і впевнено, що він заслуговує мого довіри. Він продовжував задавати питання про моє благополуччя і просити мене повідомити про будь-які зміни. Я залишив дуже позитивний враження, я дуже радий, що я обрав цього лікаря, щоб отримати другу думку про мої зубні проблеми. Я дуже рекомендую це!",addExcessiveEmotions,True
