text,fake
"Врач приветливий, толковий, об'яснил все доступним и понятним язиком мне, как не медику.",0
"Благодарю. Била первичная консультация. Мне все понравилось. В дальнейшем буду ходить на консультации также. Били рекомендовани лояльние нехимические лекарства, что меня очень устроило и мне они подходят. Врач очень приятная. Местоположение клиники очень удобное, возле метро.",0
"Я була трохи нервова, коли пішла до лікаря, тому що це було післяопераційне обстеження моєї дитини. Педіатр був дуже уважним і пояснив всі результати. Вона відповіла на всі мої питання і заспокоїла всі мої страхи. В цілому, я була задоволена лікуванням і допомогою, яку ми отримали. Доктор був дуже вежливий і добрий, що значно покращило наше дискомфорт після операції. Тепер ми чекаємо наступного етапу лікування під її наглядом.",1
"Я дуже вдячний лікареві, який прийняв мене у невідкладній допомозі. У нього дуже добрий підхід до пацієнтів, все ясно пояснює і надає потрібну допомогу. Мені провели обстеження щодо проблем зі зором, і лікар дав відповідні рекомендації. Він дуже привітний і уважний до питань, що їх задають пацієнти. Я відчув себе дуже комфортно під час візиту. Рада, що вибрав цього лікаря, адже допомогу надали дуже оперативно і професійно. Рекомендую цього лікаря всім, хто потребує високоякісної офтальмологічної допомоги. Лікар підходив до мене з добротою і зрозумілим поясненням того, що потрібно зробити, щоб поліпшити мій стан.",1
"Він був дуже вежливим і продуманним лікарем. Він зробив огляд і призначив лікування. Він зробив рекомендації щодо того, як дорегулювати свій спосіб життя для поліпшення свого здоров'я. Він висловив інтерес до своїх попередніх опитування і запропонував план дій. Він запитав про своє благополуччя і дав необхідні поради. Він характеризувався своїм професійним підходом і доброті. Візит провів плавно, лікар пояснив всі деталі і відповів на всі питання. Загалом, я радий бачити цього лікаря і рекомендувати його іншим. лікар демонструє високий рівень компетентності і занепокоєння своїми пацієнтами.",1
"Лікар професіонал своєї справи, нема питань, консультація сподобалася",0
"Лікар зробив дуже детальний перегляд після операції, докладно проаналізував моє здоров'я і зробив необхідні обстеження. Його підхід був дуже професійним і продуманним. Лікар пояснив всі свої дії і надав всю необхідну інформацію про подальший лікування. У цілому я був дуже задоволений відвідуванням лікаря і рекомендаціями. Він повністю виповнив мої очікування.",1
"Нам дуже сподобався візит у цього лікаря. Все дуже добре пройшло, все було чітко та зрозуміло, немає ніяких питань.",0
"Я пішла до сімейного лікаря, а лікар провев перевірку і приписав мені деякі ліки, і все проходило на щоденній основі, нічого особливого. Медичний персонал був професійним, хоча вони виглядали досить втомленими. Чекання не тривала довго, що було приємно. В цілому все було добре, але я особисто очікував більш детальної консультації про мої проблеми. Можливо, це було тому, що я був дуже втомлений після довгого дня. З допомогою лікаря я сподіваюся знайти рішення своєї проблеми.",1
"Я пішов до зубного лікаря через свою хронічну хворобу, і лікар зробив перевірку і доручив ліки, і він, здавалося, був досить добрим у своїй роботі, але я дійсно втомився від усіх цих відвідувань і процедур, і я сподіваюся, що тепер буде легше.",1
